College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life,Placement_Rate,Avg_Package,,,Courses_Offered
"Altius Institute of Universal Studies, Indore ",Madhya pradesh,Science,"30,000",--,9,9,8,--,--,--,--,,1400000,,,
Regional Institute of Education ,Madhya pradesh,Science,"14,710",--,8.6,9,8.3,8.5,8.9,8.4,8.2,,400000,,,
Barkatullah University ,Madhya pradesh,Science,"5,650","30,000",6.9,7.3,6.1,7.4,6.9,6,7.5,,600000,,,
Indira Gandhi National Tribal University ,Madhya pradesh,Science,"8,740","10,400",7.5,7.5,7.3,8.4,7.9,5.9,7.9,,1400000,,,
Rajmata Vijayaraje Scindia Krishi Vishwa Vidyalaya ,Madhya pradesh,Science,"27,620","17,855",8.2,9,7,8.5,8,8,8.6,,700000,,,
Atal Bihari Vajpayee Hindi Vishwavidyalaya ,Madhya pradesh,Science,"9,100","13,650",7.7,8.3,6.3,8.7,7.3,7.8,7.9,,400000,,,
Awadhesh Pratap Singh University ,Madhya pradesh,Science,"30,000","36,000",7.1,7.9,6.5,8.1,7.2,5.3,7.3,,800000,,,
"Career College, Bhopal ",Madhya pradesh,Science,"15,000","15,000",8.3,8.4,7.6,8.7,8.3,8.4,8.3,,1300000,,,
Madhya Pradesh Bhoj (Open) University ,Madhya pradesh,Science,"10,260","6,180",7.8,8.6,7.4,8.7,7.5,7.6,7.2,,600000,,,
Bonnie foi College ,Madhya pradesh,Science,"12,000","18,800",--,--,--,--,--,--,--,,500000,,,
"VIT Bhopal University, Bhopal ",Madhya pradesh,Science,"43,000","77,000",7.9,8.6,7.7,8.4,7.1,8.1,7.4,,600000,,,
"Trivandrum University College, Thiruvananthapuram ",Kerala,Science,"1,555","3,595",8.5,9.2,8,8.6,9,7.5,8.6,,1100000,,,
"Mar Ivanios College, Thiruvananthapuram ",Kerala,Science,"4,065","4,725",8.3,8.7,8.1,8.7,8.8,6.6,9,,900000,,,
Sacred Heart College ,Kerala,Science,"6,970","10,200",8.5,8.9,7.5,8.6,8.8,8,9.1,,1000000,,,
Rajagiri College of Social Sciences ,Kerala,Science,"23,853","46,803",8.5,8.8,8.5,8.8,8.5,8,8.1,,900000,,,
"Government College for Women, Thiruvananthapuram ",Kerala,Science,--,--,8.2,9,6.8,8.8,9,7.1,8.6,,900000,,,
"St Thomas' College, Thrissur ",Kerala,Science,"2,570","3,980",7.4,8,7,8.1,7,6.6,7.9,,600000,,,
"St. Albert's College, Ernakulam ",Kerala,Science,"37,500","45,000",7.1,7.9,6.4,7.7,7,6.5,6.9,,1100000,,,
St. Berchmans College ,Kerala,Science,"9,550","1,42,000",8.4,8.6,8.2,8.6,8.6,7.7,8.5,,1000000,,,
"St Teresa's College (Autonomous), Ernakulam ",Kerala,Science,"3,500","7,000",8.4,8.9,7.4,9,8.2,7.7,9.3,,1000000,,,
"Mahatma Gandhi College, Trivandrum ",Kerala,Science,"2,800","84,376",8.1,8.7,7.5,8.6,8.8,5.9,8.9,,900000,,,
"Government Arts College, Thiruvananthapuram ",Kerala,Science,--,--,7.8,9.3,6.3,9,8,6.5,7.5,,800000,,,
"Farook College, Kozhikode ",Kerala,Science,"3,190","5,020",8.1,8.7,8.1,8.5,8.5,5.8,9,,1300000,,,
"Newman College, Thodupuzha ",Kerala,Science,"3,265","4,993",7.2,8.4,5.1,7.8,8,6.6,7,,1100000,,,
T.K.M. College of Arts and Science ,Kerala,Science,"22,500","37,500",8,8.1,7.5,8.1,8.3,7.5,8.6,,800000,,,
"St Joseph's College Devagiri, Calicut ",Kerala,Science,"71,300","38,000",8.4,8.8,7.7,8.7,8.7,7.4,9,,1200000,,,
"Fatima Mata National College, Kollam ",Kerala,Science,"3,805","5,090",8.2,8.7,6.3,8.7,9.3,6.9,9.3,,1200000,,,
"Christ College Irinjalakuda, Thrissur ",Kerala,Science,"8,71,000","9,70,000",8,8.3,7.7,8.2,8.4,7.2,8.3,,400000,,,
"Mar Thoma College, Tiruvalla ",Kerala,Science,--,--,7.2,7.6,6.7,8.3,7.4,5.2,7.7,,900000,,,
"Nirmalagiri College, Kannur ",Kerala,Science,"2,545","4,380",8,9.3,7.3,8.1,9,6.7,7.8,,1000000,,,
National Institute of Technology ,Kerala,Science,"27,405","27,405",8.1,8.4,7.9,7.7,8,8.1,8.2,,600000,,,
Indian Institute of Space Science and Technology ,Kerala,Science,"21,400","87,400",8.1,8.9,7.8,8.5,8.6,7.7,7.2,,1000000,,,
Mahatma Gandhi University ,Kerala,Science,"3,280","20,200",7.7,8,7.5,8,8,6.2,8.2,,1400000,,,
Calicut University ,Kerala,Science,"2,520","5,525",7,7.5,6.2,7.5,7.4,5.4,7.9,,1400000,,,
"Oriental School of Hotel Management Lakkidi, Wayanad ",Kerala,Science,"97,800",--,7.5,8.3,7,7.6,7.1,8.1,6.7,,1000000,,,
"Bishop Vayalil Memorial Holy Cross College, Kottayam ",Kerala,Science,"18,470","41,828",7.6,8.3,6.6,9,7.7,7.3,6.7,,1400000,,,
"St. Mary's College Sulthan Bathery, Sulthan Batheri ",Kerala,Science,"45,000",--,6.8,7.8,6.9,6.8,7.5,3.8,7.8,,500000,,,
"Government College, Kasaragod ",Kerala,Science,--,--,8.2,8.3,7.4,9.1,8.7,6.6,9,,1000000,,,
"Cochin University of Science and Technology, School ",Kerala,Science,"8,595",--,8.3,8.5,7.8,8.3,8.2,8.2,8.7,,400000,,,
SCMS School of Technology and Management ,Kerala,Science,"45,000",--,7.8,7.9,7.7,8.4,7.5,8.3,7.2,,800000,,,
Kerala Veterinary and Animal Sciences University ,Kerala,Science,"1,52,350","1,19,100",8.1,8.7,7,8.4,8,8.2,8,,1200000,,,
Birla Institute of Technology and Science ,Rajasthan,Science,"4,92,950","86,825",8.9,8.8,8.2,8.8,9,9,9.3,,1000000,,,
National Law University ,Rajasthan,Science,"95,000",--,8.4,8.8,8.1,7.5,8.6,8.8,8.5,,1000000,,,
College of Veterinary and Animal Sciences ,Rajasthan,Science,"15,740","15,740",7.8,8.4,7.5,7.7,8.2,7.8,7.3,,1400000,,,
"Institute of Hotel Management, Jodhpur, Jodhpur ",Rajasthan,Science,"48,000",--,8,8,7.6,8,8.2,8.1,8,,500000,,,
"Banasthali Vidyapith, Jaipur ",Rajasthan,Science,"1,18,500","1,18,500",8.5,8.8,8.2,8.9,8.6,7.9,8.8,,1100000,,,
Indian Institute of Technology ,Rajasthan,Science,"58,500","65,500",8.2,8,7.9,8.2,8.2,8,8.7,,600000,,,
All India Institute of Medical Sciences ,Rajasthan,Science,"1,465","20,000",8,8.3,7.9,8.4,8.8,7.7,7.1,,1100000,,,
Malaviya National Institute of Technology ,Rajasthan,Science,"67,665","71,065",8.2,8.2,7.4,8,8.7,8.2,8.5,,600000,,,
Madhav University ,Rajasthan,Science,"45,000","22,000",7.8,7.9,7.5,8.2,7.9,7.3,7.8,,1300000,,,
"St Xaviers College, Jaipur ",Rajasthan,Science,"57,000",--,7.6,8.2,7.1,8.3,7.8,6,8.4,,1000000,,,
"Dr SN Medical College & Hospital, Jodhpur ",Rajasthan,Science,--,--,7.9,8.1,6.8,8.5,8,7.8,7.9,,500000,,,
Janardan Rai Nagar Rajasthan Vidyapeeth University ,Rajasthan,Science,"23,000","26,000",7.8,8.3,7.5,8.3,7.9,7.3,7.5,,700000,,,
"Amity University, Jaipur ",Rajasthan,Science,"1,22,000","1,18,000",8,7.8,7.6,7.8,8.9,7.4,8.7,,1400000,,,
"Poddar Group of Institutions, Jaipur ",Rajasthan,Science,"37,000","36,000",7.7,8.3,7.1,8.6,7.4,6.9,8,,900000,,,
"Lucky Institute of Professional Studies, Jodhpur ",Rajasthan,Science,"26,000","35,000",7.7,7.8,8,8.3,7.7,6,8.2,,1400000,,,
Jai Narain Vyas University ,Rajasthan,Science,480,420,6.2,6.9,5.2,7.1,6.4,4.9,6.4,,1200000,,,
Mahatma Jyoti Rao Phoole University ,Rajasthan,Science,"52,000","50,000",6.8,6.9,6.2,7.4,7.7,6.4,6.4,,800000,,,
"Lachoo Memorial College Science and Technology, Jodhpur ",Rajasthan,Science,"51,175","51,175",6.5,7.4,5.5,6.8,7.1,4.7,7.3,,1200000,,,
Birla Institute of Technology ,Rajasthan,Science,--,--,7.2,8.1,5.4,8.1,6.9,7.8,7.1,,800000,,,
Career Point University ,Rajasthan,Science,"39,000","31,000",8.3,8.4,7.9,8.4,8.4,7.6,8.9,,1300000,,,
"IIHMR University, Jaipur ",Rajasthan,Science,"1,40,000",--,8.5,8.6,8.1,8.5,8.8,8.5,8.2,,1100000,,,
"SPC Education Center, Jaipur ",Rajasthan,Science,"2,500","2,500",10,--,--,--,--,--,--,,400000,,,
College of Veterinary and Animal Sciences ,Rajasthan,Science,"15,740",--,8.8,9,8,9,8.5,8.5,9.5,,1000000,,,
"St Wilfreds College for Girls, Jaipur ",Rajasthan,Science,--,--,7.5,8.4,6.5,8.3,7.4,6.7,7.5,,700000,,,
Mewar University ,Rajasthan,Science,"35,000","38,000",8,7.9,7.1,8.1,8.8,7.3,8.6,,800000,,,
"Jaipur National University, School of Business & ",Rajasthan,Science,--,--,8.1,8.4,8,9,7.4,7.6,8.3,,900000,,,
"Swami Keshwanand Rajasthan Agricultural University, Bikaner ",Rajasthan,Science,"12,710","15,030",8.1,8.4,7.6,8.5,7.6,7.7,8.5,,800000,,,
"Alankar P.G. Girls College, Jaipur ",Rajasthan,Science,"26,000","40,000",9,9,9,9,9,9,9,,400000,,,
University of Rajasthan ,Rajasthan,Science,"5,440","8,770",7.6,8.1,7.1,8.1,7.9,6.5,7.8,,1200000,,,
Mehr Chand Mahajan Dayanand Anglo Vedic College ,Haryana,Science,"37,200","22,900",8.2,8.4,8,8.5,8.2,7.6,8.4,,500000,,,
"Post Graduate Government College, Chandigarh ",Haryana,Science,"26,590","53,760",7.7,8.4,7.2,8.4,7.5,6.5,7.9,,1200000,,,
"Government Home Science College, Chandigarh ",Haryana,Science,"87,060","55,530",9.1,8.7,9.3,9.3,8.7,8.7,9.7,,1300000,,,
Goswami Ganesh Dutt Sanatan Dharama College ,Haryana,Science,"24,500",--,8.1,8.6,7.6,8.5,8.1,7.1,8.8,,500000,,,
Post Graduate Institute of Medical Education & ,Haryana,Science,"7,320","3,470",8,8.3,6.8,8.8,8.2,8,8,,1200000,,,
Panjab University ,Haryana,Science,"12,700","12,000",7.7,8.2,7.7,8,7.7,6.5,8.2,,900000,,,
National Dairy Research Institute ,Haryana,Science,"17,800",--,9,8.8,8.7,9.1,9.4,9.1,8.9,,1400000,,,
Maharshi Dayanand University ,Haryana,Science,"11,315","3,984",7.8,8,7.7,8,8.4,6.6,8,,1200000,,,
Government Medical College and Hospital ,Haryana,Science,"9,500","26,054",7.9,8.7,7,8.5,8.2,6.9,8.3,,900000,,,
National Institute of Technology ,Haryana,Science,"16,000",--,8.2,8,7.4,8.1,8.2,8.6,8.6,,900000,,,
Pt Bhagwat Dayal Sharma Post Graduate Institute ,Haryana,Science,"12,395","15,405",7.5,8.4,7.5,8.1,7.5,7.6,6.1,,1400000,,,
Chandigarh University ,Haryana,Science,"1,10,000","1,00,000",8.6,8.6,8.2,8.4,9,8.6,8.8,,500000,,,
"Chitkara School of Hospitality -[CSH], Chandigarh ",Haryana,Science,--,--,8.4,8.7,7,9,8.3,8.7,8.5,,1100000,,,
"University Institute of Tourism and Hospitality Management, ",Haryana,Science,"1,16,000",--,9.6,9.8,9.4,9.8,9.6,9.6,9.6,,600000,,,
Punjab Engineering College University of Technology ,Haryana,Science,"28,000",--,8,7.9,7.3,7.6,7.7,8.4,9,,1000000,,,
Apeejay Stya University ,Haryana,Science,"2,90,200","1,20,000",7.9,8.2,7.5,7.9,7.5,7.7,8.3,,800000,,,
"University School of Business, Chandigarh University ",Haryana,Science,"60,000",--,9.1,9.1,8.8,9.1,9.2,9.3,8.9,,600000,,,
Kurukshetra University ,Haryana,Science,"8,290","40,600",7.5,8.1,7,8,7.7,6.5,7.7,,400000,,,
"Arya Post Graduate College, Panipat ",Haryana,Science,"28,900","48,500",7.8,8.4,6.8,8.8,8,6.3,8.6,,1100000,,,
National Institute of Food Technology Entrepreneurship and ,Haryana,Science,"1,15,690",--,8.1,8.5,7.1,6.9,9.4,8.5,7.9,,600000,,,
Guru Jambheshwar University of Science and Technology ,Haryana,Science,"22,600","44,800",7.7,7.7,7.3,7.5,8.9,6.5,8,,500000,,,
"J.C. Bose University Of Science And Technology, ",Haryana,Science,"53,195","53,195",7.3,7.7,6.5,7.4,6.6,7.7,7.6,,400000,,,
Maharishi Markandeshwar ,Haryana,Science,"45,000","53,500",7.5,7.6,7.2,7.7,8.3,6.8,7.6,,700000,,,
DAV College ,Haryana,Science,"29,065","58,910",8,8.4,7.4,8.3,8,6.8,8.8,,1100000,,,
"Morph Academy, Chandigarh ",Haryana,Science,"70,000","80,000",8.3,9,6,9,8.5,8.5,9,,600000,,,
Manav Rachna International Institute Of Research And ,Haryana,Science,"1,16,000","1,65,000",7.2,7.1,6.7,6.5,8.4,6.5,7.8,,400000,,,
"SRM University Delhi NCR, Sonepat ",Haryana,Science,"88,500","88,500",7.8,8,7.5,7.9,8.1,7.6,7.9,,700000,,,
"Ashoka University, Sonepat ",Haryana,Science,"9,25,000","45,000",8.6,8.6,8.6,8.9,8.7,8.3,8.5,,1200000,,,
MM Institute of Hotel Management and Catering ,Haryana,Science,"53,500","70,500",--,--,--,--,--,--,--,,400000,,,
"Gurugram University, Gurgaon ",Haryana,Science,"50,000",--,8.2,8.6,7.4,8.4,8.6,8,8.1,,1400000,,,
PD Patel Institute of Applied Sciences ,Gujarat,Science,"49,000","80,000",8.3,8,7,9,--,--,--,,500000,,,
"St Xavier's College, Ahmedabad ",Gujarat,Science,"9,985","70,100",8.1,8.4,7.4,8.6,8.3,7.3,8.7,,1200000,,,
Indian Institute of Technology ,Gujarat,Science,"48,500","48,500",8.4,8.3,8.4,8.8,9.1,7.2,8.8,,500000,,,
National Institute of Pharmaceutical Education And Research ,Gujarat,Science,"1,50,450","92,000",7.5,7.7,6.7,7.7,8,7.3,7.8,,600000,,,
"GLS Institute of Computer Application, Ahmedabad ",Gujarat,Science,--,--,8.1,8.5,7.4,8.4,8.4,7.7,8,,1000000,,,
"Institute of Pharmacy, Nirma University, Ahmedabad ",Gujarat,Science,"98,200",--,8.4,8.8,7.8,8.3,9,7.7,8.5,,600000,,,
B. J. Medical College ,Gujarat,Science,--,--,8.6,9,8.3,8.5,8.1,9.3,8.3,,1200000,,,
Maharaja Sayajirao University of Baroda ,Gujarat,Science,"9,090","8,840",7.9,8.3,7,8.4,8,7.2,8.4,,900000,,,
Sardar Vallabhbhai National Institute of Technology ,Gujarat,Science,"87,500","40,000",8,7.9,7.8,7.6,8.2,7.9,8.4,,600000,,,
"Smt. NHL Municipal Medical College, Ahmedabad ",Gujarat,Science,--,--,7.7,8.4,7.4,8.2,6.3,8.4,7.4,,1200000,,,
"Junagadh Agricultural University, Junagadh ",Gujarat,Science,"39,140","39,140",7.9,8,7.9,7.7,8.2,6.9,8.6,,400000,,,
Pramukhswami Medical College ,Gujarat,Science,--,--,8,8.7,6.2,8.8,8.3,8,8,,1300000,,,
Smt. B.K. Shah Medical Institute and Research ,Gujarat,Science,--,--,7.1,7.7,6,7.8,5.7,7.8,7.7,,600000,,,
LJ Institute of Computer Application ,Gujarat,Science,--,--,7,8,5.3,7.7,7.3,6.7,7,,400000,,,
Swami Vivekanand College of Computer Science ,Gujarat,Science,--,--,--,--,--,--,--,--,--,,500000,,,
Dr Babasaheb Ambedkar Open University ,Gujarat,Science,"4,200","26,000",7.7,8.5,5.5,8.5,8,7.5,8.1,,1100000,,,
"Christ College, Rajkot ",Gujarat,Science,"23,630","33,275",8.2,8.6,7.4,9.2,9,6.6,8.2,,1000000,,,
"Ahmedabad University, Ahmedabad ",Gujarat,Science,"2,60,000","2,60,000",8.6,9,7.6,8.9,9.2,8,9,,500000,,,
Navrachana University ,Gujarat,Science,"80,000","1,10,000",7.7,7.7,7.4,8.2,8,7.2,7.8,,500000,,,
Dhirubhai Ambani Institute of Information and Communication ,Gujarat,Science,"3,75,000","65,000",8.7,8.8,8,8.4,8.7,9.2,8.8,,1200000,,,
LM College of Pharmacy ,Gujarat,Science,--,--,7.4,8,6.4,8.2,7.2,7.2,7.2,,900000,,,
"Faculty of Technology and Engineering, Maharaja Sayajirao ",Gujarat,Science,"9,840","9,660",8.1,8.4,6.6,8.5,8,8.3,8.8,,800000,,,
Anand Agricultural University ,Gujarat,Science,"22,500","19,600",8.3,9,7.8,8.4,9.1,7.7,7.9,,1300000,,,
Sardar Patel University ,Gujarat,Science,"68,140","61,325",7.8,8.6,7,8.5,7.7,7.3,7.8,,900000,,,
Sardarkrushinagar Dantiwada Agricultural University ,Gujarat,Science,"26,370",--,8.3,8.3,8.3,8.6,8.1,8.1,8.5,,1200000,,,
Gujarat Arts and Science College ,Gujarat,Science,--,--,7.5,8.3,6.4,7.4,8.6,6.1,7.9,,1400000,,,
"Navsari Agricultural University, Navsari ",Gujarat,Science,"45,100","42,900",8,8.3,7.4,8.4,7.8,7.8,8.2,,1000000,,,
Times Business School ,Gujarat,Science,--,--,8.1,8,7,8.5,8,8,9,,1300000,,,
"CU Shah Science College, Ahmedabad ",Gujarat,Science,--,--,7,8.3,5.4,8.5,6.5,6.8,6.5,,1300000,,,
Nirma University ,Gujarat,Science,"1,78,000","97,200",8.4,8.6,8,8.4,9.1,8.1,8.2,,1200000,,,
Mehr Chand Mahajan Dayanand Anglo Vedic College ,Punjab,Science,"37,200","22,900",8.2,8.4,8,8.5,8.2,7.6,8.4,,700000,,,
"Post Graduate Government College, Chandigarh ",Punjab,Science,"26,590","53,760",7.7,8.4,7.2,8.4,7.5,6.5,7.9,,500000,,,
"Government Home Science College, Chandigarh ",Punjab,Science,"87,060","55,530",9.1,8.7,9.3,9.3,8.7,8.7,9.7,,1100000,,,
Goswami Ganesh Dutt Sanatan Dharama College ,Punjab,Science,"24,500",--,8.1,8.6,7.6,8.5,8.1,7.1,8.8,,700000,,,
Post Graduate Institute of Medical Education & ,Punjab,Science,"7,320","3,470",8,8.3,6.8,8.8,8.2,8,8,,1200000,,,
Panjab University ,Punjab,Science,"12,700","12,000",7.7,8.2,7.7,8,7.7,6.5,8.2,,700000,,,
National Institute of Pharmaceutical Education and Research ,Punjab,Science,"90,500","1,27,500",9.2,9.1,9.4,9.1,9.9,8.5,9.4,,1100000,,,
Punjab Agricultural University ,Punjab,Science,"72,920","1,02,390",7.8,8.5,7.5,8.1,8.5,6,8.1,,1200000,,,
Thapar Institute of Engineering and Technology ,Punjab,Science,"1,48,600","1,16,460",8.3,8,8.1,7.7,8.9,8.2,8.8,,1200000,,,
Indian Institute of Technology ,Punjab,Science,"24,270","16,300",8.5,8.5,8.1,8.2,9.1,8.4,8.9,,1300000,,,
Government Medical College and Hospital ,Punjab,Science,"9,500","26,054",7.9,8.7,7,8.5,8.2,6.9,8.3,,700000,,,
Kamla Nehru College for Women ,Punjab,Science,--,--,7.9,8.5,8,8.2,8.3,5.8,8.8,,400000,,,
"Government Medical College / Rajindra Hospital-[GMCP], Patiala ",Punjab,Science,--,--,7.5,7.3,7.3,8.3,6.5,7.8,7.5,,600000,,,
Chandigarh University ,Punjab,Science,"1,10,000","1,00,000",8.6,8.6,8.2,8.4,9,8.6,8.8,,1200000,,,
"Chitkara School of Hospitality -[CSH], Chandigarh ",Punjab,Science,--,--,8.4,8.7,7,9,8.3,8.7,8.5,,700000,,,
"University Institute of Tourism and Hospitality Management, ",Punjab,Science,"1,16,000",--,9.6,9.8,9.4,9.8,9.6,9.6,9.6,,800000,,,
Punjab Engineering College University of Technology ,Punjab,Science,"28,000",--,8,7.9,7.3,7.6,7.7,8.4,9,,1000000,,,
Northern India Institute of Fashion Technology ,Punjab,Science,"1,25,090","1,25,090",7.6,7.2,7.3,8.1,7.5,7.8,7.9,,800000,,,
"University School of Business, Chandigarh University ",Punjab,Science,"60,000",--,9.1,9.1,8.8,9.1,9.2,9.3,8.9,,700000,,,
"Ludhiana College of Engineering and Technology, Ludhiana ",Punjab,Science,"1,07,000",--,6.7,7,6.8,7.5,6.8,5.1,7.2,,500000,,,
Punjab Institute of Management and Technology ,Punjab,Science,--,--,8.9,9.4,8.4,9.4,8.8,8.6,8.6,,500000,,,
I.K. Gujral Punjab Technical University ,Punjab,Science,"32,150","38,600",8.1,8,7.4,8.7,8.3,7.7,8.7,,700000,,,
"Khalsa College, Amritsar ",Punjab,Science,"56,370","75,445",7.9,8.3,7.7,7.9,8.3,6.5,8.4,,1300000,,,
"BBK DAV College for Women, Amritsar ",Punjab,Science,"22,200","25,080",8.8,9,8.5,9.5,8.2,7.8,9.5,,1300000,,,
"OXL School of Multimedia, Jalandhar ",Punjab,Science,--,--,--,--,--,--,--,--,--,,1200000,,,
Dr BR Ambedkar National Institute of Technology ,Punjab,Science,"1,18,000","33,000",7.9,8,7.7,7.6,8,8,8.3,,1100000,,,
"Doaba College, Jalandhar ",Punjab,Science,"27,650","27,560",8.7,9.1,8.4,9.4,8.6,8.1,8.5,,600000,,,
Sant Longowal Institute of Engineering and Technology ,Punjab,Science,"52,000","27,900",7.6,7.7,7.1,7.5,8.4,6.5,8.1,,1200000,,,
DAV College ,Punjab,Science,"29,065","58,910",8,8.4,7.4,8.3,8,6.8,8.8,,800000,,,
St. Xavier's College ,West bengal,Science,"60,500","1,68,000",8.3,8.8,7.4,8.4,8.6,7.8,8.8,,1400000,,,
Ramakrishna Mission Vivekananda Centenary College Rahara ,West bengal,Science,"10,420","34,040",8,9.3,6.9,8.9,8.5,6.4,7.7,,600000,,,
"Ramakrishna Mission Vidyamandira, Howrah ",West bengal,Science,"14,400","14,400",8.8,9.3,8.6,9.4,8.9,7.8,8.6,,800000,,,
Ramakrishna Mission Residential College ,West bengal,Science,"47,100","40,000",8.3,8.9,8.1,9,8.4,6.7,8.4,,1300000,,,
Lady Brabourne College ,West bengal,Science,"68,534",--,7.6,8.9,7,8.3,7.9,6.3,7,,700000,,,
"Bethune College, Kolkata ",West bengal,Science,"1,371","6,561",8,9.1,7.3,8.8,7.9,6.8,8.1,,1100000,,,
"Scottish Church College, Kolkata ",West bengal,Science,"20,246","50,900",7.8,8.3,7.8,8.3,8.1,6.3,8.2,,800000,,,
"Loreto College, Kolkata ",West bengal,Science,"22,640",--,8.3,9.3,6.8,9.3,8.1,7.6,8.6,,1300000,,,
Indian Institute of Technology ,West bengal,Science,"25,465","82,070",8.5,8.8,7.2,8.2,8.9,8.8,9,,1100000,,,
Jadavpur University ,West bengal,Science,"2,400",--,8.4,9,7.6,8.5,8.1,8.4,9,,1200000,,,
Indian Institute of Engineering Science and Technology ,West bengal,Science,"41,500","28,000",8,8.3,7.7,7.9,7.9,7.5,8.4,,700000,,,
"University of Calcutta, Kolkata ",West bengal,Science,"2,314","1,604",7.7,8.6,6.9,8.5,7.7,6.5,7.7,,1000000,,,
"Presidency University, Kolkata ",West bengal,Science,"2,125","2,295",8.1,8.8,7.3,8.6,8.8,6.5,8.3,,500000,,,
"NSHM Knowledge Campus, Durgapur ",West bengal,Science,"1,37,000","1,77,510",8.3,8.5,8.1,8.6,8.6,7.7,8.5,,900000,,,
National Institute of Technology ,West bengal,Science,"1,49,100","39,100",7.7,8,6.8,7.8,7.5,7.8,8.4,,1100000,,,
Institute of Post Graduate Medical Education And ,West bengal,Science,"6,000",--,8,8.7,7.4,7.9,8.3,8.5,7.2,,1000000,,,
Guru Nanak Institute of Hotel Management ,West bengal,Science,"1,05,000",--,8,8.3,7.3,8,8.2,8.4,7.9,,1000000,,,
"NSHM Knowledge Campus, Kolkata ",West bengal,Science,"1,56,000","1,40,000",7.8,8,6.8,8.1,8.2,7.7,8,,1100000,,,
JD Birla Institute ,West bengal,Science,"1,75,248","84,200",7.6,8.3,6.1,8.1,7.7,7.6,8,,1000000,,,
"Annex College, Kolkata ",West bengal,Science,"1,98,000","1,20,000",7.9,7.7,8.3,8.3,7.8,7.5,8,,800000,,,
Institute of Management Study ,West bengal,Science,"55,000","55,000",7.3,7.8,6.4,7.7,7.6,7.3,6.8,,1000000,,,
"George Group of Colleges, Kolkata ",West bengal,Science,"88,550","1,16,000",7.8,8.7,6.4,8.6,8,7.5,7.5,,1300000,,,
Indian Institute of Social Welfare and Business ,West bengal,Science,--,--,7.7,8.6,6.5,8.3,6.9,8,8,,600000,,,
"Gokhale Memorial Girls' College, Kolkata ",West bengal,Science,"16,060",--,7.8,8.8,7.2,8.8,7.1,7.2,7.9,,800000,,,
"NIMAS, Kolkata ",West bengal,Science,"1,49,000",--,8.8,9.7,9,8.6,9.5,7.4,8.4,,1000000,,,
Institute of Engineering and Management ,West bengal,Science,--,--,7.5,8.2,6.5,8,6.7,8.4,7.2,,1200000,,,
Eastern Institute for Integrated Learning In Management ,West bengal,Science,"2,70,000",--,7.5,7.6,6.6,7.5,7.4,8.1,7.6,,500000,,,
"KD College of Commerce & General Studies, ",West bengal,Science,"11,700",--,7.3,8.8,7.8,6.4,8.2,5.3,7,,700000,,,
Uttar Banga Krishi Vishwavidyalaya ,West bengal,Science,"6,000",--,7.3,7.9,6.6,8,7.3,5.5,8.2,,1000000,,,
"Asutosh College, Kolkata ",West bengal,Science,"7,250",--,7.5,8.3,6.5,8.4,7.7,5.6,8.5,,400000,,,
National Institute of Technology ,Orissa,Science,"97,500","1,13,000",8.4,8.3,7.9,7.8,9.1,8.2,8.9,,500000,,,
Indian Institute of Technology ,Orissa,Science,"84,460","43,568",7.8,8.1,8,8,7.8,7.8,7.2,,1200000,,,
Siksha 'O' Anusandhan University ,Orissa,Science,"85,000","25,000",8.3,8.6,7.6,8.3,8.7,8,8.5,,1300000,,,
Institute of Technical Education and Research ,Orissa,Science,"85,000",--,8.2,8.4,7.4,8.2,8.6,8.3,8,,1000000,,,
Kalinga Institute of Industrial Technology ,Orissa,Science,"1,39,000","2,71,000",8.6,8.4,8.1,8.2,9.2,8.6,9,,1300000,,,
Xavier University ,Orissa,Science,"1,67,000","1,50,000",8.2,8.7,7.8,8.4,9.2,6.8,8.4,,1000000,,,
"C. V. Raman Global University, Bhubaneswar ",Orissa,Science,"40,000",--,7.6,7.9,7,7.5,8.2,7.5,7.6,,900000,,,
Veer Surendra Sai University of Technology ,Orissa,Science,"91,140","91,140",7.9,8.2,7.7,7.9,7.4,7.7,8.4,,600000,,,
Central Institute of Freshwater Aquaculture ,Orissa,Science,"60,900",--,--,--,--,--,--,--,--,,1300000,,,
BJB Autonomous College ,Orissa,Science,"25,000",--,7.4,8.3,6.8,7.9,7.4,5.9,7.9,,600000,,,
Orissa University of Agriculture and Technology ,Orissa,Science,"35,569","17,860",7.5,8.1,7.6,8.1,7.1,6,8.3,,500000,,,
Regional Institute of Education ,Orissa,Science,"14,155",--,8.3,8.5,8,8.2,8,8.3,8.9,,1400000,,,
Biju Pattnaik College of Science & Education ,Orissa,Science,--,--,8,8.5,6.9,8.6,8,7.5,8.4,,900000,,,
"Rama Devi Women's University, Bhubaneswar ",Orissa,Science,"4,023","3,610",7.9,8.5,7.3,8.7,8.3,6,8.7,,700000,,,
Directorate of Research on Woman in Agriculture ,Orissa,Science,--,--,--,--,--,--,--,--,--,,800000,,,
"Maharishi College of Natural Law, Bhubaneswar ",Orissa,Science,--,--,7.5,8.6,6.4,8.8,7.8,4.7,8.9,,600000,,,
Biju Patnaik University of Technology ,Orissa,Science,--,--,6.2,6.1,6.7,6.4,6.8,4.8,6.1,,900000,,,
Sri Sri University ,Orissa,Science,"1,24,890","1,24,890",7.1,7.3,6.7,7,7.3,6.3,8.2,,1400000,,,
